Rank,Artist,Song,Genre,Year,Lyrics
162,Arctic Monkeys,I Bet You Look Good on the Dancefloor,"Garage Rock Revival,Indie Rock  ",2005,"Stop making the eyes at me,
I'll stop making the eyes at you.
What it is that surprises me
Is that I don't really want you to

And your shoulders are frozen (cold as the night)
Oh, but you're an explosion (you're dynamite)
Your name isn't Rio, but I don't care for sand 
And lighting a fuse might result in a bang b-b-bang-go

I bet that you look good on the dance floor
I don't know if you're looking for romance or...
I don't know what you're looking for
I said I bet that you look good on the dance floor
Dancing to electro-pop like a robot from 1984
Well, from 1984!

I wish you'd stop ignoring me
Because it's sending me to despair,
Without a sound yeah you're calling me
And I don't think it's very fair

That your shoulders are frozen (cold as the night)
Oh, but you're an explosion (you're dynamite)
Your name isn't Rio, but I don't care for sand 
And lighting a fuse might result in a bang, b-b-bang-go

I bet that you look good on the dance floor
I don't know if you're looking for romance or...
I don't know what you're looking for
I said I bet that you look good on the dance floor
Dancing to electro-pop like a robot from 1984
Well, from 1984!

And no, there ain't no love, no Montagues or Capulets
Just banging tunes and DJ sets
Dirty dance floors, and dreams of naughtiness!

Well, I bet that you look good on the dance floor
I don't know if you're looking for romance or...
I don't know what you're looking for
I said I bet that you look good on the dance floor
Dancing to electro-pop like a robot from 1984
Said, from 1984!"
163,Madonna,Like a Virgin,Synthpop   ,1984,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was until I found you
I was beat, incomplete, I'd been had
I was sad and blue, but you made me feel
Yeah, you made me feel shiny and new

Like a virgin
Touched for the very first time
Like a virgin
When your heart beats next to mine

Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you, 'cause only love can last
You're so fine and you're mine
Make me strong, yeah, you make me bold
Oh, your love thawed out
Yeah, your love thawed out what was scared and cold

Like a virgin (hey)
Touched for the very first time
Like a virgin
With your heartbeat next to mine

You're so fine and you're mine
I'll be yours 'til the end of time
'Cause you made me feel
Yeah, you made me feel I've nothing to hide

Like a virgin (hey)
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Like a virgin
Like a virgin
Feels so good inside
When you hold me, and your heart beats, and you love me

Ooh, baby yeah
Can't you hear my heart beat for the very first time?"
164,Madonna,Into the Groove,"Freestyle,Synthpop  ",1985,"And you can dance
For inspiration
Come on
I'm waiting

Get into the groove
Boy you've got to prove
Your love to me, yeah
Get up on your feet, yeah
Step to the beat
Boy what will it be

Music can be such a revelation
Dancing around you feel the sweet sensation
We might be lovers if the rhythms right
I hope this feeling never ends tonight

Only when I'm dancing can I feel this free
At night I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight I wanna dance with someone else

Get into the groove
Boy you've got to prove
Your love to me, yeah
Get up on your feet, yeah
Step to the beat
Boy what will it be

Gonna get to know you in a special way
This doesn't happen to me every day
Don't try to hide it love wears no disguise
I see the fire burning in your eyes

Only when I'm dancing can I feel this free
At night I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight I wanna dance with someone else

Get into the groove
Boy you've got to prove
Your love to me, yeah
Get up on your feet, yeah
Step to the beat
Boy what will it be

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine

You've got to

Get into the groove
Boy you've got to prove
Your love to me, yeah
Get up on your feet, yeah
Step to the beat
Boy what will it be

Only when I'm dancing can I feel this free
At night I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight I wanna dance with someone else

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine

Now I know you're mine, now I know you're mine
Now I know you're mine, now I know you're mine
You've got to

Get into the groove
Boy you've got to prove
Your love to me, yeah
Get up on your feet, yeah
Step to the beat
Boy what will it be
[Repeat and fade]"
165,Tame Impala,Let It Happen,"Indietronica,Psychedelic Pop,Synthpop ",2015,"It's always around me, all this noise
But not nearly as loud as the voice saying
Let it happen, let it happen
(It's gonna feel so good)
Just let it happen, let it happen

All this running around
Trying to cover my shadow
A notion growing inside
Now all the others seem shallow
All this running around
Bearing down on my shoulders
I can hear an alarm
Must be morning

I heard about a whirlwind that's coming 'round
It's gonna carry off all that isn't bound
And when it happens, when it happens
(I won't be holding on)
So let it happen, let it happen

All this running around
I can't fight it much longer
Something's trying to get out
And it's never been closer
If my take-off fails
Make up some other story
But if I never come back
Tell my mother I'm sorry

I will not vanish and you will not scare me
Try to get through it, try to bounce to it
All the while thinking I might as well do it
They be loving someone and I'm not that stupid
Take the next ticket to take the next train
Why would I do it? And you wanna think that

I will not vanish and you will not scare me
Try to get through it, try to bounce to it
All the while thinking I might as well do it
They be loving someone and I'm not that stupid
Take the next ticket to take the next train
Why would I do it? And you wanna think that

I will not vanish and you will not scare me
Try to get through it, try to bounce to it
All the while thinking I might as well do it
They be loving someone and I'm not that stupid
Take the next ticket to take the next train
Why would I do it? And you wanna think that

I will not vanish and you will not scare me
Try to get through it, try to bounce to it
All the while thinking I might as well do it
They be loving someone and I'm not that stupid
Take the next ticket to take the next train
Why would I do it? And you wanna think that

Baby, now I'm ready, moving on
Oh, but maybe I was ready all along
Oh, I'm ready for the moment and the sound
Oh, but maybe I was ready all along
Baby, now I'm ready, moving on
Oh, but maybe I was ready all along
Oh, I'm ready for the moment and the sound
Oh, but maybe I was ready all along"
166,Solange,Cranes in the Sky,Neo-Soul   ,2016, 
167,Blur,Song 2,Alternative Rock   ,1997, 
168,Prince and The Revolution,Purple Rain,"Pop Rock,Psychedelic Soul  ",1984, 
169,Kate Bush,Wuthering Heights,Art Pop   ,1978,"Out on the wiley, windy moors
We'd roll and fall in green
You had a temper like my jealousy
Too hot, too greedy
How could you leave me
When I needed to possess you?
I hated you. I loved you, too

Bad dreams in the night
They told me I was going to lose the fight
Leave behind my wuthering, wuthering
Wuthering Heights

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Ooh, it gets dark! It gets lonely
On the other side from you
I pine a lot. I find the lot
Falls through without you
I'm coming back, love
Cruel Heathcliff, my one dream
My only master

Too long I roam in the night
I'm coming back to his side, to put it right
I'm coming home to wuthering, wuthering
Wuthering Heights

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Ooh! Let me have it
Let me grab your soul away
Ooh! Let me have it
Let me grab your soul away
You know, it's me - Cathy

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold
Let me in-a-your window

Heathcliff, it's me, I'm Cathy
I've come home. I'm so cold"
170,Bruce Springsteen,Born in the U.S.A.,"Heartland Rock,Pop Rock  ",1984,"Born down in a dead man's town
The first kick I took was when I hit the ground
You end up like a dog that's been beat too much
'Til you spend half your life just coverin' up

Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
Born in the U.S.A

Got in a little hometown jam
So they put a rifle in my hand
Sent me off to a foreign land
To go and kill the yellow man

Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A

Come back home to the refinery
Hiring man says, ""Son if it was up to me""
Went down to see my V.A. man
He said, ""Son, don't you understand""

I had a brother at Khe Sanh
Fighting off the Viet Cong
They're still there, he's all gone
He had a woman he loved in Saigon
I got a picture of him in her arms now

Down in the shadow of the penitentiary
Out by the gas fires of the refinery
I'm ten years burning down the road
Nowhere to run ain't got nowhere to go

Born in the U.S.A
I was born in the U.S.A. now
Born in the U.S.A
I'm a long gone Daddy in the U.S.A. now
Born in the U.S.A
Born in the U.S.A
Born in the U.S.A
I'm a cool rockin' Daddy in the U.S.A. now"
171,MGMT,Kids,"Electropop,Indietronica,Synthpop ",2007,"You were a child
Crawling on your knees toward it
Making momma so proud
But your voice is too loud
We like to watch you laughing
You pick the insects off plants
No time to think of consequences

Control yourself
Take only what you need from it
A family of trees wanting to be haunted
Control yourself
Take only what you need from it
A family of trees wanting to be haunted

The water is warm
But it's sending me shivers
A baby is born
Crying out for attention
The memories fade
Like looking through a fogged mirror
Decisions to decisions are made and not bought
But I thought this wouldn't hurt a lot
I guess not

[6x]
Control yourself
Take only what you need from it
A family of trees wanting to be haunted
Control yourself
Take only what you need from it
A family of trees wanting to be haunted

Control yourself
Take only what you need from it
A family of trees wanting
To be haunted
Control yourself
Take only what you need from it
A family of trees wanting
To be haunted
Control yourself
Take only what you need from it
A family of trees wanting
To be haunted
Control yourself
Take only what you need from it
A family of trees"
